N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,LG디스플레이,"14,650",400,-2.66%,"5,000","52,420","357,816",17.95,"2,286,993",5.36,9.68,
60,한온시스템,"9,740",310,-3.08%,100,"51,992","533,800",17.21,"473,214",19.29,13.83,
61,KODEX 200,"30,660",295,-0.95%,0,"51,463","167,850",4.89,"3,236,986",N/A,N/A,
62,강원랜드,"23,750",800,-3.26%,500,"50,811","213,940",21.27,"884,443",208.33,-0.33,
63,에스디바이오센서,"48,400",50,+0.10%,500,"49,983","103,271",11.19,"1,128,571",4.41,72.47,
64,F&F,"129,500","3,500",-2.63%,100,"49,608","38,307",12.41,"76,837",13.78,N/A,
65,맥쿼리인프라,"12,100",250,-2.02%,0,"48,986","404,846",14.44,"454,858",N/A,N/A,
66,SKC,"125,000","5,000",-3.85%,"5,000","47,335","37,868",14.93,"235,281",19.28,11.60,
67,코웨이,"63,700",300,-0.47%,500,"47,010","73,800",61.02,"60,573",9.90,27.41,
68,삼성중공업,"5,340",80,-1.48%,"1,000","46,992","880,000",14.84,"3,985,086",-3.96,-36.89,
69,한국항공우주,"47,750","1,800",-3.63%,"5,000","46,544","97,475",21.12,"1,021,895",52.65,5.19,
70,DB손해보험,"60,400","2,500",+4.32%,500,"42,763","70,800",43.19,"192,138",4.58,13.38,
71,현대건설,"38,200",400,-1.04%,"5,000","42,538","111,356",23.63,"469,211",10.25,5.89,
72,오리온,"107,500","2,500",+2.38%,500,"42,501","39,536",35.87,"139,068",16.16,12.75,
73,유한양행,"57,400",0,0.00%,"1,000","42,035","73,231",18.72,"136,243",43.62,5.45,
74,현대제철,"31,000","1,150",-3.58%,"5,000","41,368","133,446",21.21,"539,376",2.39,8.54,
75,HD현대,"51,400",900,-1.72%,"1,000","40,602","78,993",16.30,"191,890",75.92,-1.99,
76,한미약품,"321,000",0,0.00%,"2,500","39,541","12,318",13.81,"26,628",58.58,8.75,
77,메리츠화재,"32,550",0,0.00%,500,"39,263","120,625",11.12,"121,818",5.28,26.12,
78,삼성엔지니어링,"20,000",350,-1.72%,"5,000","39,200","196,000",39.82,"926,973",10.35,20.67,
79,한진칼,"58,200",700,-1.19%,"2,500","38,855","66,761",14.63,"62,157",20.50,1.11,
80,TIGER 차이나전기차SOLACTIVE,"16,685",240,-1.42%,0,"37,908","227,200",0.67,"14,150,462",N/A,N/A,
81,한국타이어앤테크놀로지,"30,600",300,-0.97%,500,"37,906","123,875",35.98,"329,105",7.22,7.69,
82,미래에셋증권,"6,160",230,-3.60%,"5,000","37,903","615,316",13.50,"1,473,989",4.60,11.66,
83,금호석유,"122,000","5,000",-3.94%,"5,000","36,961","30,296",19.76,"201,976",2.19,47.76,
84,GS,"38,850",750,-1.89%,"5,000","36,098","92,915",22.72,"187,727",2.40,15.55,
85,롯데지주,"34,250",200,+0.59%,200,"35,931","104,909",8.18,"173,688",12.50,4.61,
86,삼성카드,"30,450",150,+0.50%,"5,000","35,279","115,859",6.97,"66,663",6.15,7.53,
87,한국금융지주,"60,000","1,000",-1.64%,"5,000","33,436","55,726",33.85,"138,603",2.21,27.12,
